,B,C,PB228,PB317,PB411,PB428,PB512,PB602,PB613,CB228,CB317,CB411,CB428,CB512,CB602,CB613,HB228,HB317,HB411,HB428,HB512,HB602,HB613,PC228,PC317,PC411,PC428,PC512,PC602,PC613,CC228,CC317,CC411,CC428,CC512,CC602,CC613,HC228,HC317,HC411,HC428,HC512,HC602,HC613,PBC228,PBC317,PBC411,PBC428,PBC512,PBC602,PBC613,CBC228,CBC317,CBC411,CBC428,CBC512,CBC602,CBC613,HBC228,HBC317,HBC411,HBC428,HBC512,HBC602,HBC613,PCK317,PCK411,PCK428,PCK512,PCK602,PCK613,PCK228,CCK317,CCK411,CCK428,CCK512,CCK602,CCK613,CCK228,HCK317,HCK411,HCK428,HCK512,HCK602,HCK613,HCK228,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu25,0,0,307,461,697,115,156,128,0,494,568,1122,1825,605,419,157,5,2,0,1,7,9,194,307,244,108,422,77,150,17,494,415,247,214,396,589,290,5,4,0,4,1,2,128,307,226,128,1049,471,162,7,494,729,593,606,881,709,1997,5,1,0,0,5,11,292,131,574,125,98,183,6,307,931,442,1047,574,438,476,494,2,20,21,7,7,198,5,k__Fungi,,,,,,
Zotu1759,0,0,1,7,0,0,3,6,0,0,1,0,0,0,0,5,0,1,0,0,3,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,2,14,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu33,0,0,388,1027,206,2680,451,321,671,71,182,214,93,190,116,59,517,319,402,1240,275,601,544,388,503,948,250,174,133,449,71,175,58,263,22,25,132,517,266,623,1239,402,206,355,388,332,58,505,337,478,350,71,208,22,99,70,45,113,517,285,148,410,2532,392,247,96,76,210,276,162,1506,388,131,40,939,149,54,365,71,839,353,230,593,1416,1146,517,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_sp
Zotu11,0,0,3904,776,397,528,1546,4790,20,0,0,0,1,0,8,2,60,14,10,20,3,7,2082,3904,741,5589,824,3405,1905,3,0,0,0,0,0,0,4,60,25,6,17,14,46,3534,3904,490,2173,566,1256,6041,14,0,1,0,0,1,1,0,60,9,13,18,2,5,1068,1825,1143,489,1585,4599,68,3904,0,0,0,0,0,9,0,33,6,47,8,0,2122,60,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu10,2,0,3988,819,8720,273,1694,3574,0,2,0,0,0,0,0,0,1,2,0,0,0,1,1204,3988,1497,4207,202,1165,1261,0,2,1,0,0,0,0,0,1,3,0,0,0,2,1613,3988,578,1039,455,1065,1861,0,2,0,0,0,8,0,0,1,2,0,0,0,6,588,1193,1227,236,409,1145,4,3988,0,0,0,0,0,1,2,0,10,16,9,0,1243,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu6,0,0,577,552,37,135,186,93,2470,663,2289,1273,466,1367,1261,1233,2321,2077,1212,834,1251,2054,251,577,631,262,418,286,151,1703,663,1343,1325,1166,2156,833,1287,2321,517,923,1049,558,1178,501,577,424,297,1229,1178,137,976,663,1163,1259,1618,2426,927,1273,2321,1164,302,786,324,564,441,426,210,265,314,227,600,577,1697,946,2023,1031,950,1158,663,419,464,360,464,748,291,2321,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Wojnowiciella,s__Wojnowiciella_sp
Zotu127,2,0,53,7,0,0,181,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,53,31,69,426,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,53,26,102,10,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,42,4,41,423,0,53,0,0,0,0,0,0,0,0,0,0,0,0,17,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu31,0,0,3262,1500,343,733,1539,1647,0,6,1,0,0,0,2,1,0,0,0,0,0,0,1192,3262,1750,1624,374,593,766,0,6,59,6,8,1,3,0,0,0,0,0,0,0,2208,3262,304,1929,390,331,1500,0,6,49,2,5,1,0,1,0,0,0,0,0,0,657,1345,375,284,578,982,0,3262,0,0,1,4,0,1,6,0,0,0,0,0,1056,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu523,0,0,11,26,0,29,17,2,0,0,0,0,1,2,0,0,8,0,1,0,0,2,8,11,19,15,5,15,58,2,0,4,0,5,3,1,1,8,0,11,0,0,8,4,11,29,1,7,12,5,0,0,1,0,0,0,1,0,8,0,0,0,0,1,0,21,32,10,60,44,0,11,1,0,15,1,0,2,0,1,0,0,2,5,39,8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,g__Pseudoanungitea,s__Pseudoanungitea_sp
Zotu19,0,0,3586,1795,335,649,2973,2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942,3586,1156,696,204,864,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,3586,338,369,432,99,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,1032,914,537,557,5081,0,3586,0,0,0,0,0,0,0,0,0,5,0,0,1385,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu1,28,6,3193,4614,3607,6196,6302,1622,198,8105,5809,3191,4996,6010,3094,12535,1133,2412,7357,564,587,305,2725,3193,8119,5310,8118,9754,391,119,8105,2665,3129,836,1909,932,1063,1133,1900,791,319,455,162,1612,3193,9358,11180,3167,1815,515,44,8105,2057,8798,6029,3971,2402,1502,1133,2562,7349,184,154,46,4242,2357,12299,7005,12627,863,127,3193,4337,6478,1530,4650,3044,893,8105,945,1583,488,1827,67,341,1133,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp
Zotu1345,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11,2,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,2,0,0,2,0,5,0,2,0,0,0,0,6,6,0,0,0,0,k__Fungi,,,,,,
Zotu373,0,0,6,30,24,5,14,25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,59,6,18,26,0,4,5,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,6,14,167,35,12,16,0,1,0,48,0,0,0,0,0,0,0,0,0,0,4,10,21,68,6,6,0,6,0,0,0,1,1,0,1,0,8,2,0,0,0,0,k__Fungi,,,,,,
Zotu81,0,0,23,30,131,21,295,157,0,0,0,0,0,0,0,0,0,0,3,0,13,0,199,23,22,60,62,165,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,23,16,308,42,34,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1928,150,66,230,140,0,23,2,0,0,0,0,0,0,0,0,595,8,1,155,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
Zotu222,0,0,75,3,0,4,45,34,0,0,1,0,0,1,0,0,0,0,0,0,0,0,82,75,17,73,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,75,2,50,59,28,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,9,0,0,7,0,75,1,1,0,1,1,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu72,0,0,33,0,70,37,18,4,0,111,226,200,90,64,155,179,0,0,0,0,0,0,2,33,0,0,0,1,0,0,111,71,5,3749,23,1,157,0,0,0,0,0,0,9,33,0,0,2,0,0,0,111,167,7,1,7,1,96,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,1,1,111,0,0,0,0,0,697,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu1608,0,0,5,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,9,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu2,20,11,2218,3797,4343,1302,3211,1901,1298,3334,3538,7893,7298,3993,2163,2870,914,736,1842,2169,1348,1009,1821,2218,2893,5982,1275,1938,415,365,3334,2367,2172,668,1638,458,868,914,757,734,708,1317,782,818,2218,3642,10904,1357,890,794,1021,3334,2715,5543,5163,3256,2745,2244,914,387,814,521,534,536,2060,1313,8889,1437,3084,1147,1958,2218,4316,6206,2221,6118,3927,820,3334,2888,2667,1119,3086,1270,402,914,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
