Sample name,all,site,treat,Date,fday,day
B,B,None,BI,228,0d,0
C,C,None,CI,228,0d,0
PB228,PB,P,B,228,0d,0
PB317,PB,P,B,317,22d,22
PB411,PB,P,B,411,47d,47
PB428,PB,P,B,428,64d,64
PB512,PB,P,B,512,78d,78
PB602,PB,P,B,602,99d,99
PB613,PB,P,B,613,110d,110
CB228,CB,C,B,228,0d,0
CB317,CB,C,B,317,22d,22
CB411,CB,C,B,411,47d,47
CB428,CB,C,B,428,64d,64
CB512,CB,C,B,512,78d,78
CB602,CB,C,B,602,99d,99
CB613,CB,C,B,613,110d,110
HB228,HB,H,B,228,0d,0
HB317,HB,H,B,317,22d,22
HB411,HB,H,B,411,47d,47
HB428,HB,H,B,428,64d,64
HB512,HB,H,B,512,78d,78
HB602,HB,H,B,602,99d,99
HB613,HB,H,B,613,110d,110
PC228,PC,P,C,228,0d,0
PC317,PC,P,C,317,22d,22
PC411,PC,P,C,411,47d,47
PC428,PC,P,C,428,64d,64
PC512,PC,P,C,512,78d,78
PC602,PC,P,C,602,99d,99
PC613,PC,P,C,613,110d,110
CC228,CC,C,C,228,0d,0
CC317,CC,C,C,317,22d,22
CC411,CC,C,C,411,47d,47
CC428,CC,C,C,428,64d,64
CC512,CC,C,C,512,78d,78
CC602,CC,C,C,602,99d,99
CC613,CC,C,C,613,110d,110
HC228,HC,H,C,228,0d,0
HC317,HC,H,C,317,22d,22
HC411,HC,H,C,411,47d,47
HC428,HC,H,C,428,64d,64
HC512,HC,H,C,512,78d,78
HC602,HC,H,C,602,99d,99
HC613,HC,H,C,613,110d,110
PBC228,PBC,P,BC,228,0d,0
PBC317,PBC,P,BC,317,22d,22
PBC411,PBC,P,BC,411,47d,47
PBC428,PBC,P,BC,428,64d,64
PBC512,PBC,P,BC,512,78d,78
PBC602,PBC,P,BC,602,99d,99
PBC613,PBC,P,BC,613,110d,110
CBC228,CBC,C,BC,228,0d,0
CBC317,CBC,C,BC,317,22d,22
CBC411,CBC,C,BC,411,47d,47
CBC428,CBC,C,BC,428,64d,64
CBC512,CBC,C,BC,512,78d,78
CBC602,CBC,C,BC,602,99d,99
CBC613,CBC,C,BC,613,110d,110
HBC228,HBC,H,BC,228,0d,0
HBC317,HBC,H,BC,317,22d,22
HBC411,HBC,H,BC,411,47d,47
HBC428,HBC,H,BC,428,64d,64
HBC512,HBC,H,BC,512,78d,78
HBC602,HBC,H,BC,602,99d,99
HBC613,HBC,H,BC,613,110d,110
PCK317,PCK,P,CK,317,22d,22
PCK411,PCK,P,CK,411,47d,47
PCK428,PCK,P,CK,428,64d,64
PCK512,PCK,P,CK,512,78d,78
PCK602,PCK,P,CK,602,99d,99
PCK613,PCK,P,CK,613,110d,110
PCK228,PCK,P,CK,228,0d,0
CCK317,CCK,C,CK,317,22d,22
CCK411,CCK,C,CK,411,47d,47
CCK428,CCK,C,CK,428,64d,64
CCK512,CCK,C,CK,512,78d,78
CCK602,CCK,C,CK,602,99d,99
CCK613,CCK,C,CK,613,110d,110
CCK228,CCK,C,CK,228,0d,0
HCK317,HCK,H,CK,317,22d,22
HCK411,HCK,H,CK,411,47d,47
HCK428,HCK,H,CK,428,64d,64
HCK512,HCK,H,CK,512,78d,78
HCK602,HCK,H,CK,602,99d,99
HCK613,HCK,H,CK,613,110d,110
HCK228,HCK,H,CK,228,0d,0
